ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
2319	Test Cultures	2319	70,000.00	3,508.58	3,510.05	3,500.04	4.33	3,505.02	3,510.04	67,425.00	8,380.12	10,999.96	6,800.00	1,048.33	7,723.99	6,947.58							
2321	Polyaramids	2321	53,000.00	9,110.40	9,110.41	9,110.40	0.01	9,110.40	9,110.41	3,670.00	27,000.00	27,000.00	27,000.00	0.00	27,000.00	27,000.00							
2327	Microfiber Shielding	2327	85,999.00	7,687.53	12,004.99	12.25	3,955.52	8,015.25	12,004.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2328	Water-Cooled CPU	2328	113,000.00	3,000.04	3,000.07	3,000.00	0.03	3,000.02	3,000.07	3,225.00	7,896.74	9,000.00	5,900.00	1,291.85	8,000.00	5,900.00							
2329	Biocells	2329	148,500.00	6,877.41	7,200.01	6,751.27	201.79	6,753.15	7,200.00	47,658.00	12,589.55	16,787.19	9,800.00	2,607.17	12,999.97	9,800.00							
2344	Condensates	2344	4,000.00	13,000.02	13,000.03	13,000.00	0.02	13,000.02	13,000.03	1,951.00	90,000.00	90,000.00	90,000.00	0.00	90,000.00	90,000.00							
2345	Camera Drones	2345	2,000.00	51,000.02	51,000.03	51,000.00	0.01	51,000.02	51,000.03	321.00	200,000.00	200,000.00	200,000.00	0.00	200,000.00	200,000.00							
2346	Synthetic Synapses	2346	5,512.00	68,539.10	91,000.01	35,000.00	22,132.95	44,001.50	91,000.01	7,103.00	134,067.26	155,000.00	127,999.99	11,803.80	129,000.00	127,999.99							
2348	Gel-Matrix Biopaste	2348	10,102.00	88,322.23	115,000.01	1,000.01	32,668.83	91,500.52	115,000.01	9,095.00	144,588.14	170,000.00	126,999.99	13,673.91	147,998.60	127,000.00							
2349	Supercomputers	2349	1,500.00	81,934.00	97,000.00	74,401.00	11,299.50	74,401.00	97,000.00	6,093.00	166,449.22	210,999.99	164,999.00	21,684.84	165,000.00	164,999.00							
2351	Smartfab Units	2351	4,500.00	50,001.63	64,002.26	1,000.01	27,280.44	64,001.11	64,002.26	6,381.00	168,744.67	170,000.01	140,000.00	10,897.33	170,000.01	148,975.61							
2352	Nuclear Reactors	2352	3,000.00	65,667.67	70,000.00	58,003.00	5,435.10	69,000.02	70,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2354	Neocoms	2354	17,000.00	32,705.88	80,000.02	999.99	32,690.79	999.99	80,000.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2358	Biotech Research Reports	2358	1,100.00	8,827.46	87,102.00	1,000.01	43,051.00	1,000.01	87,102.00	6,099.00	163,357.11	175,000.00	120,000.00	24,352.73	175,000.00	120,000.00							
